Segment;Region; Product ; Discount Band ;  Units Sold  ; Manufacturing Price ; Sale Price ; Gross Sales ; Discounts ;   Sales  ;  COGS  ;  Profit  ;Date;Month Number; Month Name ;Year
Small Business;Yogyakarta; Loan ; High ;  $591.00  ; $10.00 ; $300.00 ; $177,300.00 ; $17,730.00 ;  $159,570.00  ;  $147,750.00  ;  $11,820.00  ;05/01/2023;5; May ;2023
Midmarket;Jakarta; Loan ; High ;  $2,167.00  ; $10.00 ; $15.00 ; $32,505.00 ; $3,250.50 ;  $29,254.50  ;  $21,670.00  ;  $7,584.50  ;10/01/2013;10; October ;2013
Government;West Java; Loan ; High ;  $241.00  ; $10.00 ; $20.00 ; $4,820.00 ; $482.00 ;  $4,338.00  ;  $2,410.00  ;  $1,928.00  ;10/01/2023;10; October ;2023
Midmarket;West Java; Fashion ; High ;  $681.00  ; $120.00 ; $15.00 ; $10,215.00 ; $1,021.50 ;  $9,193.50  ;  $6,810.00  ;  $2,383.50  ;01/01/2023;1; January ;2023
Midmarket;West Java; Fashion ; High ;  $510.00  ; $120.00 ; $15.00 ; $7,650.00 ; $765.00 ;  $6,885.00  ;  $5,100.00  ;  $1,785.00  ;04/01/2023;4; April ;2023
Midmarket;East Java; Fashion ; High ;  $790.00  ; $120.00 ; $15.00 ; $11,850.00 ; $1,185.00 ;  $10,665.00  ;  $7,900.00  ;  $2,765.00  ;05/01/2023;5; May ;2023
Government;Jakarta; Fashion ; High ;  $639.00  ; $120.00 ; $350.00 ; $223,650.00 ; $22,365.00 ;  $201,285.00  ;  $166,140.00  ;  $35,145.00  ;07/01/2023;7; July ;2023
Small Business;East Java; Fashion ; High ;  $2,294.00  ; $120.00 ; $300.00 ; $688,200.00 ; $68,820.00 ;  $619,380.00  ;  $573,500.00  ;  $45,880.00  ;10/01/2013;10; October ;2013
Government;West Java; Fashion ; High ;  $241.00  ; $120.00 ; $20.00 ; $4,820.00 ; $482.00 ;  $4,338.00  ;  $2,410.00  ;  $1,928.00  ;10/01/2023;10; October ;2023
Government;West Java; Fashion ; High ;  $2,665.00  ; $120.00 ; $7.00 ; $18,655.00 ; $1,865.50 ;  $16,789.50  ;  $13,325.00  ;  $3,464.50  ;11/01/2023;11; November ;2023
Small Business;Jakarta; Fashion ; High ;  $853.00  ; $120.00 ; $300.00 ; $255,900.00 ; $25,590.00 ;  $230,310.00  ;  $213,250.00  ;  $17,060.00  ;12/01/2023;12; December ;2023
Midmarket;Yogyakarta; Cloud Computing ; High ;  $641.00  ; $250.00 ; $15.00 ; $9,615.00 ; $961.50 ;  $8,653.50  ;  $6,410.00  ;  $2,243.50  ;07/01/2023;7; July ;2023
Government;East Java; Cloud Computing ; High ;  $2,807.00  ; $250.00 ; $350.00 ; $982,450.00 ; $98,245.00 ;  $884,205.00  ;  $729,820.00  ;  $154,385.00  ;08/01/2023;8; August ;2023
Small Business;Yogyakarta; Cloud Computing ; High ;  $432.00  ; $250.00 ; $300.00 ; $129,600.00 ; $12,960.00 ;  $116,640.00  ;  $108,000.00  ;  $8,640.00  ;09/01/2023;9; September ;2023
Small Business;East Java; Cloud Computing ; High ;  $2,294.00  ; $250.00 ; $300.00 ; $688,200.00 ; $68,820.00 ;  $619,380.00  ;  $573,500.00  ;  $45,880.00  ;10/01/2013;10; October ;2013
Midmarket;Jakarta; Cloud Computing ; High ;  $2,167.00  ; $250.00 ; $15.00 ; $32,505.00 ; $3,250.50 ;  $29,254.50  ;  $21,670.00  ;  $7,584.50  ;10/01/2013;10; October ;2013
Government;West Java; Cloud Computing ; High ;  $1,870.00  ; $250.00 ; $350.00 ; $654,500.00 ; $65,450.00 ;  $589,050.00  ;  $486,200.00  ;  $102,850.00  ;12/01/2013;12; December ;2013
Government;Banten; Project Management  ; High ;  $2,240.00  ; $260.00 ; $350.00 ; $784,000.00 ; $78,400.00 ;  $705,600.00  ;  $582,400.00  ;  $123,200.00  ;02/01/2023;2; February ;2023
Small Business;East Java; Project Management  ; High ;  $2,993.00  ; $260.00 ; $300.00 ; $897,900.00 ; $89,790.00 ;  $808,110.00  ;  $748,250.00  ;  $59,860.00  ;03/01/2023;3; March ;2023
Channel Partners;Banten; Project Management  ; High ;  $3,520.50  ; $260.00 ; $12.00 ; $42,246.00 ; $4,224.60 ;  $38,021.40  ;  $10,561.50  ;  $27,459.90  ;04/01/2023;4; April ;2023
Government;Yogyakarta; Project Management  ; High ;  $2,039.00  ; $260.00 ; $20.00 ; $40,780.00 ; $4,078.00 ;  $36,702.00  ;  $20,390.00  ;  $16,312.00  ;05/01/2023;5; May ;2023
Channel Partners;West Java; Project Management  ; High ;  $2,574.00  ; $260.00 ; $12.00 ; $30,888.00 ; $3,088.80 ;  $27,799.20  ;  $7,722.00  ;  $20,077.20  ;08/01/2023;8; August ;2023
Government;Banten; Project Management  ; High ;  $707.00  ; $260.00 ; $350.00 ; $247,450.00 ; $24,745.00 ;  $222,705.00  ;  $183,820.00  ;  $38,885.00  ;09/01/2023;9; September ;2023
Midmarket;Jakarta; Project Management  ; High ;  $2,072.00  ; $260.00 ; $15.00 ; $31,080.00 ; $3,108.00 ;  $27,972.00  ;  $20,720.00  ;  $7,252.00  ;12/01/2023;12; December ;2023
Small Business;Jakarta; Project Management  ; High ;  $853.00  ; $260.00 ; $300.00 ; $255,900.00 ; $25,590.00 ;  $230,310.00  ;  $213,250.00  ;  $17,060.00  ;12/01/2023;12; December ;2023
Channel Partners;Jakarta; Training ; High ;  $1,198.00  ; $3.00 ; $12.00 ; $14,376.00 ; $1,581.36 ;  $12,794.64  ;  $3,594.00  ;  $9,200.64  ;10/01/2013;10; October ;2013
Government;Jakarta; Loan ; High ;  $2,532.00  ; $10.00 ; $7.00 ; $17,724.00 ; $1,949.64 ;  $15,774.36  ;  $12,660.00  ;  $3,114.36  ;04/01/2023;4; April ;2023
Channel Partners;Jakarta; Loan ; High ;  $1,198.00  ; $10.00 ; $12.00 ; $14,376.00 ; $1,581.36 ;  $12,794.64  ;  $3,594.00  ;  $9,200.64  ;10/01/2013;10; October ;2013
Midmarket;Banten; Fashion ; High ;  $384.00  ; $120.00 ; $15.00 ; $5,760.00 ; $633.60 ;  $5,126.40  ;  $3,840.00  ;  $1,286.40  ;01/01/2023;1; January ;2023
Channel Partners;West Java; Fashion ; High ;  $472.00  ; $120.00 ; $12.00 ; $5,664.00 ; $623.04 ;  $5,040.96  ;  $1,416.00  ;  $3,624.96  ;10/01/2023;10; October ;2023
Government;East Java; Cloud Computing ; High ;  $1,579.00  ; $250.00 ; $7.00 ; $11,053.00 ; $1,215.83 ;  $9,837.17  ;  $7,895.00  ;  $1,942.17  ;03/01/2023;3; March ;2023
Channel Partners;Yogyakarta; Cloud Computing ; High ;  $1,005.00  ; $250.00 ; $12.00 ; $12,060.00 ; $1,326.60 ;  $10,733.40  ;  $3,015.00  ;  $7,718.40  ;09/01/2013;9; September ;2013
Midmarket;East Java; Project Management  ; High ;  $3,199.50  ; $260.00 ; $15.00 ; $47,992.50 ; $5,279.17 ;  $42,713.33  ;  $31,995.00  ;  $10,718.32  ;07/01/2023;7; July ;2023
Channel Partners;West Java; Project Management  ; High ;  $472.00  ; $260.00 ; $12.00 ; $5,664.00 ; $623.04 ;  $5,040.96  ;  $1,416.00  ;  $3,624.96  ;10/01/2023;10; October ;2023
Channel Partners;Banten; Training ; High ;  $1,937.00  ; $3.00 ; $12.00 ; $23,244.00 ; $2,556.84 ;  $20,687.16  ;  $5,811.00  ;  $14,876.16  ;02/01/2023;2; February ;2023
Government;West Java; Training ; High ;  $792.00  ; $3.00 ; $350.00 ; $277,200.00 ; $30,492.00 ;  $246,708.00  ;  $205,920.00  ;  $40,788.00  ;03/01/2018;3; March ;2018
Small Business;West Java; Training ; High ;  $2,811.00  ; $3.00 ; $300.00 ; $843,300.00 ; $92,763.00 ;  $750,537.00  ;  $702,750.00  ;  $47,787.00  ;07/01/2018;7; July ;2018
Midmarket;Banten; Training ; High ;  $1,560.00  ; $3.00 ; $15.00 ; $23,400.00 ; $2,574.00 ;  $20,826.00  ;  $15,600.00  ;  $5,226.00  ;11/01/2013;11; November ;2013
Government;Yogyakarta; Training ; High ;  $2,706.00  ; $3.00 ; $7.00 ; $18,942.00 ; $2,083.62 ;  $16,858.38  ;  $13,530.00  ;  $3,328.38  ;11/01/2013;11; November ;2013
Government;West Java; Education ; High ;  $766.00  ; $5.00 ; $350.00 ; $268,100.00 ; $29,491.00 ;  $238,609.00  ;  $199,160.00  ;  $39,449.00  ;01/01/2018;1; January ;2018
Government;West Java; Education ; High ;  $2,992.00  ; $5.00 ; $20.00 ; $59,840.00 ; $6,582.40 ;  $53,257.60  ;  $29,920.00  ;  $23,337.60  ;10/01/2013;10; October ;2013
Midmarket;Yogyakarta; Education ; High ;  $2,157.00  ; $5.00 ; $15.00 ; $32,355.00 ; $3,559.05 ;  $28,795.95  ;  $21,570.00  ;  $7,225.95  ;12/01/2018;12; December ;2018
Small Business;Banten; Loan ; High ;  $873.00  ; $10.00 ; $300.00 ; $261,900.00 ; $28,809.00 ;  $233,091.00  ;  $218,250.00  ;  $14,841.00  ;01/01/2018;1; January ;2018
Government;Yogyakarta; Loan ; High ;  $1,122.00  ; $10.00 ; $20.00 ; $22,440.00 ; $2,468.40 ;  $19,971.60  ;  $11,220.00  ;  $8,751.60  ;03/01/2018;3; March ;2018
Government;Banten; Loan ; High ;  $2,104.50  ; $10.00 ; $350.00 ; $736,575.00 ; $81,023.25 ;  $655,551.75  ;  $547,170.00  ;  $108,381.75  ;07/01/2018;7; July ;2018
Channel Partners;Banten; Loan ; High ;  $4,026.00  ; $10.00 ; $12.00 ; $48,312.00 ; $5,314.32 ;  $42,997.68  ;  $12,078.00  ;  $30,919.68  ;07/01/2018;7; July ;2018
Channel Partners;Jakarta; Loan ; High ;  $2,425.50  ; $10.00 ; $12.00 ; $29,106.00 ; $3,201.66 ;  $25,904.34  ;  $7,276.50  ;  $18,627.84  ;07/01/2018;7; July ;2018
Government;Banten; Loan ; High ;  $2,394.00  ; $10.00 ; $20.00 ; $47,880.00 ; $5,266.80 ;  $42,613.20  ;  $23,940.00  ;  $18,673.20  ;08/01/2018;8; August ;2018
Midmarket;Yogyakarta; Loan ; High ;  $1,984.00  ; $10.00 ; $15.00 ; $29,760.00 ; $3,273.60 ;  $26,486.40  ;  $19,840.00  ;  $6,646.40  ;08/01/2018;8; August ;2018
Government;West Java; Loan ; High ;  $2,992.00  ; $10.00 ; $20.00 ; $59,840.00 ; $6,582.40 ;  $53,257.60  ;  $29,920.00  ;  $23,337.60  ;10/01/2013;10; October ;2013
Small Business;Banten; Loan ; High ;  $1,366.00  ; $10.00 ; $300.00 ; $409,800.00 ; $45,078.00 ;  $364,722.00  ;  $341,500.00  ;  $23,222.00  ;11/01/2018;11; November ;2018
Government;Jakarta; Fashion ; High ;  $2,805.00  ; $120.00 ; $20.00 ; $56,100.00 ; $6,171.00 ;  $49,929.00  ;  $28,050.00  ;  $21,879.00  ;09/01/2013;9; September ;2013
Midmarket;Yogyakarta; Fashion ; High ;  $655.00  ; $120.00 ; $15.00 ; $9,825.00 ; $1,080.75 ;  $8,744.25  ;  $6,550.00  ;  $2,194.25  ;09/01/2013;9; September ;2013
Government;Yogyakarta; Fashion ; High ;  $344.00  ; $120.00 ; $350.00 ; $120,400.00 ; $13,244.00 ;  $107,156.00  ;  $89,440.00  ;  $17,716.00  ;10/01/2013;10; October ;2013
Government;Banten; Fashion ; High ;  $1,808.00  ; $120.00 ; $7.00 ; $12,656.00 ; $1,392.16 ;  $11,263.84  ;  $9,040.00  ;  $2,223.84  ;11/01/2018;11; November ;2018
Channel Partners;Jakarta; Cloud Computing ; High ;  $1,734.00  ; $250.00 ; $12.00 ; $20,808.00 ; $2,288.88 ;  $18,519.12  ;  $5,202.00  ;  $13,317.12  ;01/01/2018;1; January ;2018
Government;Banten; Cloud Computing ; High ;  $2,935.00  ; $250.00 ; $20.00 ; $58,700.00 ; $6,457.00 ;  $52,243.00  ;  $29,350.00  ;  $22,893.00  ;11/01/2013;11; November ;2013
Government;Yogyakarta; Project Management  ; High ;  $2,629.00  ; $260.00 ; $20.00 ; $52,580.00 ; $5,783.80 ;  $46,796.20  ;  $26,290.00  ;  $20,506.20  ;01/01/2018;1; January ;2018
Government;Yogyakarta; Project Management  ; High ;  $344.00  ; $260.00 ; $350.00 ; $120,400.00 ; $13,244.00 ;  $107,156.00  ;  $89,440.00  ;  $17,716.00  ;10/01/2013;10; October ;2013
Midmarket;Yogyakarta; Project Management  ; High ;  $2,157.00  ; $260.00 ; $15.00 ; $32,355.00 ; $3,559.05 ;  $28,795.95  ;  $21,570.00  ;  $7,225.95  ;12/01/2018;12; December ;2018
Government;East Java; Loan ; High ;  $380.00  ; $10.00 ; $7.00 ; $2,660.00 ; $292.60 ;  $2,367.40  ;  $1,900.00  ;  $467.40  ;09/01/2013;9; September ;2013
Government;Yogyakarta; Training ; High ;  $886.00  ; $3.00 ; $350.00 ; $310,100.00 ; $37,212.00 ;  $272,888.00  ;  $230,360.00  ;  $42,528.00  ;06/01/2018;6; June ;2018
Midmarket;Banten; Training ; High ;  $2,689.00  ; $3.00 ; $15.00 ; $40,335.00 ; $4,840.20 ;  $35,494.80  ;  $26,890.00  ;  $8,604.80  ;11/01/2018;11; November ;2018
Midmarket;East Java; Education ; High ;  $677.00  ; $5.00 ; $15.00 ; $10,155.00 ; $1,218.60 ;  $8,936.40  ;  $6,770.00  ;  $2,166.40  ;03/01/2018;3; March ;2018
Small Business;Jakarta; Education ; High ;  $1,773.00  ; $5.00 ; $300.00 ; $531,900.00 ; $63,828.00 ;  $468,072.00  ;  $443,250.00  ;  $24,822.00  ;04/01/2018;4; April ;2018
Government;Yogyakarta; Education ; High ;  $2,420.00  ; $5.00 ; $7.00 ; $16,940.00 ; $2,032.80 ;  $14,907.20  ;  $12,100.00  ;  $2,807.20  ;09/01/2018;9; September ;2018
Government;Banten; Education ; High ;  $2,734.00  ; $5.00 ; $7.00 ; $19,138.00 ; $2,296.56 ;  $16,841.44  ;  $13,670.00  ;  $3,171.44  ;10/01/2018;10; October ;2018
Government;Yogyakarta; Education ; High ;  $1,715.00  ; $5.00 ; $20.00 ; $34,300.00 ; $4,116.00 ;  $30,184.00  ;  $17,150.00  ;  $13,034.00  ;10/01/2013;10; October ;2013
Small Business;Jakarta; Education ; High ;  $1,186.00  ; $5.00 ; $300.00 ; $355,800.00 ; $42,696.00 ;  $313,104.00  ;  $296,500.00  ;  $16,604.00  ;12/01/2013;12; December ;2013
Small Business;East Java; Loan ; High ;  $3,495.00  ; $10.00 ; $300.00 ; $1,048,500.00 ; $125,820.00 ;  $922,680.00  ;  $873,750.00  ;  $48,930.00  ;01/01/2018;1; January ;2018
Government;Yogyakarta; Loan ; High ;  $886.00  ; $10.00 ; $350.00 ; $310,100.00 ; $37,212.00 ;  $272,888.00  ;  $230,360.00  ;  $42,528.00  ;06/01/2018;6; June ;2018
Government;Yogyakarta; Loan ; High ;  $905.00  ; $10.00 ; $20.00 ; $18,100.00 ; $2,172.00 ;  $15,928.00  ;  $9,050.00  ;  $6,878.00  ;10/01/2018;10; October ;2018
Government;Yogyakarta; Loan ; High ;  $1,715.00  ; $10.00 ; $20.00 ; $34,300.00 ; $4,116.00 ;  $30,184.00  ;  $17,150.00  ;  $13,034.00  ;10/01/2013;10; October ;2013
Government;Jakarta; Loan ; High ;  $1,594.00  ; $10.00 ; $350.00 ; $557,900.00 ; $66,948.00 ;  $490,952.00  ;  $414,440.00  ;  $76,512.00  ;11/01/2018;11; November ;2018
Small Business;West Java; Loan ; High ;  $1,359.00  ; $10.00 ; $300.00 ; $407,700.00 ; $48,924.00 ;  $358,776.00  ;  $339,750.00  ;  $19,026.00  ;11/01/2018;11; November ;2018
Small Business;Yogyakarta; Loan ; High ;  $2,150.00  ; $10.00 ; $300.00 ; $645,000.00 ; $77,400.00 ;  $567,600.00  ;  $537,500.00  ;  $30,100.00  ;11/01/2018;11; November ;2018
Government;Yogyakarta; Loan ; High ;  $1,197.00  ; $10.00 ; $350.00 ; $418,950.00 ; $50,274.00 ;  $368,676.00  ;  $311,220.00  ;  $57,456.00  ;11/01/2018;11; November ;2018
Midmarket;Yogyakarta; Loan ; High ;  $380.00  ; $10.00 ; $15.00 ; $5,700.00 ; $684.00 ;  $5,016.00  ;  $3,800.00  ;  $1,216.00  ;12/01/2013;12; December ;2013
Government;Yogyakarta; Loan ; High ;  $1,233.00  ; $10.00 ; $20.00 ; $24,660.00 ; $2,959.20 ;  $21,700.80  ;  $12,330.00  ;  $9,370.80  ;12/01/2018;12; December ;2018
Government;Yogyakarta; Fashion ; High ;  $1,395.00  ; $120.00 ; $350.00 ; $488,250.00 ; $58,590.00 ;  $429,660.00  ;  $362,700.00  ;  $66,960.00  ;07/01/2018;7; July ;2018
Government;East Java; Fashion ; High ;  $986.00  ; $120.00 ; $350.00 ; $345,100.00 ; $41,412.00 ;  $303,688.00  ;  $256,360.00  ;  $47,328.00  ;10/01/2018;10; October ;2018
Government;Yogyakarta; Fashion ; High ;  $905.00  ; $120.00 ; $20.00 ; $18,100.00 ; $2,172.00 ;  $15,928.00  ;  $9,050.00  ;  $6,878.00  ;10/01/2018;10; October ;2018
Channel Partners;Banten; Cloud Computing ; High ;  $2,109.00  ; $250.00 ; $12.00 ; $25,308.00 ; $3,036.96 ;  $22,271.04  ;  $6,327.00  ;  $15,944.04  ;05/01/2018;5; May ;2018
Midmarket;Jakarta; Cloud Computing ; High ;  $3,874.50  ; $250.00 ; $15.00 ; $58,117.50 ; $6,974.10 ;  $51,143.40  ;  $38,745.00  ;  $12,398.40  ;07/01/2018;7; July ;2018
Government;Banten; Cloud Computing ; High ;  $623.00  ; $250.00 ; $350.00 ; $218,050.00 ; $26,166.00 ;  $191,884.00  ;  $161,980.00  ;  $29,904.00  ;09/01/2013;9; September ;2013
Government;East Java; Cloud Computing ; High ;  $986.00  ; $250.00 ; $350.00 ; $345,100.00 ; $41,412.00 ;  $303,688.00  ;  $256,360.00  ;  $47,328.00  ;10/01/2018;10; October ;2018
Government;Yogyakarta; Cloud Computing ; High ;  $1,233.00  ; $250.00 ; $20.00 ; $24,660.00 ; $2,959.20 ;  $21,700.80  ;  $12,330.00  ;  $9,370.80  ;12/01/2018;12; December ;2018
Government;East Java; Project Management  ; High ;  $270.00  ; $260.00 ; $350.00 ; $94,500.00 ; $11,340.00 ;  $83,160.00  ;  $70,200.00  ;  $12,960.00  ;02/01/2018;2; February ;2018
Government;Jakarta; Project Management  ; High ;  $3,421.50  ; $260.00 ; $7.00 ; $23,950.50 ; $2,874.06 ;  $21,076.44  ;  $17,107.50  ;  $3,968.94  ;07/01/2018;7; July ;2018
Government;Banten; Project Management  ; High ;  $2,734.00  ; $260.00 ; $7.00 ; $19,138.00 ; $2,296.56 ;  $16,841.44  ;  $13,670.00  ;  $3,171.44  ;10/01/2018;10; October ;2018
Midmarket;East Java; Project Management  ; High ;  $2,548.00  ; $260.00 ; $15.00 ; $38,220.00 ; $4,586.40 ;  $33,633.60  ;  $25,480.00  ;  $8,153.60  ;11/01/2013;11; November ;2013
Government;Jakarta; Training ; High ;  $2,521.50  ; $3.00 ; $20.00 ; $50,430.00 ; $6,051.60 ;  $44,378.40  ;  $25,215.00  ;  $19,163.40  ;01/01/2018;1; January ;2018
Channel Partners;Yogyakarta; Education ; High ;  $2,661.00  ; $5.00 ; $12.00 ; $31,932.00 ; $3,831.84 ;  $28,100.16  ;  $7,983.00  ;  $20,117.16  ;05/01/2018;5; May ;2018
Government;West Java; Loan ; High ;  $1,531.00  ; $10.00 ; $20.00 ; $30,620.00 ; $3,674.40 ;  $26,945.60  ;  $15,310.00  ;  $11,635.60  ;12/01/2018;12; December ;2018
Government;Jakarta; Cloud Computing ; High ;  $1,491.00  ; $250.00 ; $7.00 ; $10,437.00 ; $1,252.44 ;  $9,184.56  ;  $7,455.00  ;  $1,729.56  ;03/01/2018;3; March ;2018
Government;West Java; Cloud Computing ; High ;  $1,531.00  ; $250.00 ; $20.00 ; $30,620.00 ; $3,674.40 ;  $26,945.60  ;  $15,310.00  ;  $11,635.60  ;12/01/2018;12; December ;2018
Channel Partners;Banten; Project Management  ; High ;  $2,761.00  ; $260.00 ; $12.00 ; $33,132.00 ; $3,975.84 ;  $29,156.16  ;  $8,283.00  ;  $20,873.16  ;09/01/2013;9; September ;2013
Midmarket;East Java; Training ; High ;  $2,567.00  ; $3.00 ; $15.00 ; $38,505.00 ; $5,005.65 ;  $33,499.35  ;  $25,670.00  ;  $7,829.35  ;06/01/2018;6; June ;2018
Midmarket;East Java; Cloud Computing ; High ;  $2,567.00  ; $250.00 ; $15.00 ; $38,505.00 ; $5,005.65 ;  $33,499.35  ;  $25,670.00  ;  $7,829.35  ;06/01/2018;6; June ;2018
Government;Banten; Training ; High ;  $923.00  ; $3.00 ; $350.00 ; $323,050.00 ; $41,996.50 ;  $281,053.50  ;  $239,980.00  ;  $41,073.50  ;03/01/2018;3; March ;2018
Government;Jakarta; Training ; High ;  $1,790.00  ; $3.00 ; $350.00 ; $626,500.00 ; $81,445.00 ;  $545,055.00  ;  $465,400.00  ;  $79,655.00  ;03/01/2018;3; March ;2018
Government;West Java; Training ; High ;  $442.00  ; $3.00 ; $20.00 ; $8,840.00 ; $1,149.20 ;  $7,690.80  ;  $4,420.00  ;  $3,270.80  ;09/01/2013;9; September ;2013
Government;East Java; Education ; High ;  $982.50  ; $5.00 ; $350.00 ; $343,875.00 ; $44,703.75 ;  $299,171.25  ;  $255,450.00  ;  $43,721.25  ;01/01/2018;1; January ;2018
Government;East Java; Education ; High ;  $1,298.00  ; $5.00 ; $7.00 ; $9,086.00 ; $1,181.18 ;  $7,904.82  ;  $6,490.00  ;  $1,414.82  ;02/01/2018;2; February ;2018
Channel Partners;Yogyakarta; Education ; High ;  $604.00  ; $5.00 ; $12.00 ; $7,248.00 ; $942.24 ;  $6,305.76  ;  $1,812.00  ;  $4,493.76  ;06/01/2018;6; June ;2018
Government;Yogyakarta; Education ; High ;  $2,255.00  ; $5.00 ; $20.00 ; $45,100.00 ; $5,863.00 ;  $39,237.00  ;  $22,550.00  ;  $16,687.00  ;07/01/2021;7; July ;2021
Government;Banten; Education ; High ;  $1,249.00  ; $5.00 ; $20.00 ; $24,980.00 ; $3,247.40 ;  $21,732.60  ;  $12,490.00  ;  $9,242.60  ;10/01/2021;10; October ;2021
Government;East Java; Loan ; High ;  $1,438.50  ; $10.00 ; $7.00 ; $10,069.50 ; $1,309.04 ;  $8,760.47  ;  $7,192.50  ;  $1,567.96  ;01/01/2021;1; January ;2021
Small Business;West Java; Loan ; High ;  $807.00  ; $10.00 ; $300.00 ; $242,100.00 ; $31,473.00 ;  $210,627.00  ;  $201,750.00  ;  $8,877.00  ;01/01/2021;1; January ;2021
Government;East Java; Loan ; High ;  $2,641.00  ; $10.00 ; $20.00 ; $52,820.00 ; $6,866.60 ;  $45,953.40  ;  $26,410.00  ;  $19,543.40  ;02/01/2021;2; February ;2021
Government;West Java; Loan ; High ;  $2,708.00  ; $10.00 ; $20.00 ; $54,160.00 ; $7,040.80 ;  $47,119.20  ;  $27,080.00  ;  $20,039.20  ;02/01/2021;2; February ;2021
Government;Banten; Loan ; High ;  $2,632.00  ; $10.00 ; $350.00 ; $921,200.00 ; $119,756.00 ;  $801,444.00  ;  $684,320.00  ;  $117,124.00  ;06/01/2021;6; June ;2021
Channel Partners;Yogyakarta; Loan ; High ;  $571.00  ; $10.00 ; $12.00 ; $6,852.00 ; $890.76 ;  $5,961.24  ;  $1,713.00  ;  $4,248.24  ;07/01/2021;7; July ;2021
Government;Jakarta; Loan ; High ;  $2,696.00  ; $10.00 ; $7.00 ; $18,872.00 ; $2,453.36 ;  $16,418.64  ;  $13,480.00  ;  $2,938.64  ;08/01/2021;8; August ;2021
Midmarket;Banten; Loan ; High ;  $1,565.00  ; $10.00 ; $15.00 ; $23,475.00 ; $3,051.75 ;  $20,423.25  ;  $15,650.00  ;  $4,773.25  ;10/01/2021;10; October ;2021
Government;Banten; Loan ; High ;  $1,249.00  ; $10.00 ; $20.00 ; $24,980.00 ; $3,247.40 ;  $21,732.60  ;  $12,490.00  ;  $9,242.60  ;10/01/2021;10; October ;2021
Government;West Java; Loan ; High ;  $357.00  ; $10.00 ; $350.00 ; $124,950.00 ; $16,243.50 ;  $108,706.50  ;  $92,820.00  ;  $15,886.50  ;11/01/2021;11; November ;2021
Channel Partners;West Java; Loan ; High ;  $1,013.00  ; $10.00 ; $12.00 ; $12,156.00 ; $1,580.28 ;  $10,575.72  ;  $3,039.00  ;  $7,536.72  ;12/01/2021;12; December ;2021
Midmarket;Jakarta; Fashion ; High ;  $3,997.50  ; $120.00 ; $15.00 ; $59,962.50 ; $7,795.13 ;  $52,167.38  ;  $39,975.00  ;  $12,192.38  ;01/01/2021;1; January ;2021
Government;Banten; Fashion ; High ;  $2,632.00  ; $120.00 ; $350.00 ; $921,200.00 ; $119,756.00 ;  $801,444.00  ;  $684,320.00  ;  $117,124.00  ;06/01/2021;6; June ;2021
Government;Jakarta; Fashion ; High ;  $1,190.00  ; $120.00 ; $7.00 ; $8,330.00 ; $1,082.90 ;  $7,247.10  ;  $5,950.00  ;  $1,297.10  ;06/01/2021;6; June ;2021
Channel Partners;Yogyakarta; Fashion ; High ;  $604.00  ; $120.00 ; $12.00 ; $7,248.00 ; $942.24 ;  $6,305.76  ;  $1,812.00  ;  $4,493.76  ;06/01/2021;6; June ;2021
Midmarket;West Java; Fashion ; High ;  $660.00  ; $120.00 ; $15.00 ; $9,900.00 ; $1,287.00 ;  $8,613.00  ;  $6,600.00  ;  $2,013.00  ;09/01/2022;9; September ;2022
Channel Partners;Yogyakarta; Fashion ; High ;  $410.00  ; $120.00 ; $12.00 ; $4,920.00 ; $639.60 ;  $4,280.40  ;  $1,230.00  ;  $3,050.40  ;10/01/2021;10; October ;2021
Small Business;Yogyakarta; Fashion ; High ;  $2,605.00  ; $120.00 ; $300.00 ; $781,500.00 ; $101,595.00 ;  $679,905.00  ;  $651,250.00  ;  $28,655.00  ;11/01/2022;11; November ;2022
Channel Partners;West Java; Fashion ; High ;  $1,013.00  ; $120.00 ; $12.00 ; $12,156.00 ; $1,580.28 ;  $10,575.72  ;  $3,039.00  ;  $7,536.72  ;12/01/2021;12; December ;2021
Midmarket;Banten; Cloud Computing ; High ;  $1,565.00  ; $250.00 ; $15.00 ; $23,475.00 ; $3,051.75 ;  $20,423.25  ;  $15,650.00  ;  $4,773.25  ;10/01/2021;10; October ;2021
Government;Jakarta; Project Management  ; High ;  $1,190.00  ; $260.00 ; $7.00 ; $8,330.00 ; $1,082.90 ;  $7,247.10  ;  $5,950.00  ;  $1,297.10  ;06/01/2021;6; June ;2021
Channel Partners;Yogyakarta; Project Management  ; High ;  $410.00  ; $260.00 ; $12.00 ; $4,920.00 ; $639.60 ;  $4,280.40  ;  $1,230.00  ;  $3,050.40  ;10/01/2021;10; October ;2021
Channel Partners;West Java; Project Management  ; High ;  $1,770.00  ; $260.00 ; $12.00 ; $21,240.00 ; $2,761.20 ;  $18,478.80  ;  $5,310.00  ;  $13,168.80  ;12/01/2022;12; December ;2022
Government;Yogyakarta; Training ; High ;  $2,579.00  ; $3.00 ; $20.00 ; $51,580.00 ; $7,221.20 ;  $44,358.80  ;  $25,790.00  ;  $18,568.80  ;04/01/2021;4; April ;2021
Government;East Java; Training ; High ;  $1,743.00  ; $3.00 ; $20.00 ; $34,860.00 ; $4,880.40 ;  $29,979.60  ;  $17,430.00  ;  $12,549.60  ;05/01/2021;5; May ;2021
